"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2017","SFI GRAND VISTA, LLC","58-102408.0003","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","0.02","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2017","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","93.76","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2017","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","178.65","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2017","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","1929.44","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","2017","RINCON MESA LANDOWNER'S ASSN","91-000472.0000","SMALL COMMUNITY WATER SYSTEM","","085141","D-15-16 33AAC","6.649","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2017","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","72.24","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"NOT WITHIN ANY AMA OR INA","2017","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2017","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","126.77","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2017","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","161.84","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2017","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","1748","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2017","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","25.11","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2017","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","085744","D-12-13 19ADA","45","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2017","ARNOLD ANGLIN DAIRY","58-104295.0002","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085994","D-02-07 14AB","17.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2017","CITY OF TUCSON/TUCSON WATER","74-560621.0004","RECOVERY WELL PERMITS","UPPER SANTA CRUZ","086158","D-12-12 21ADB","1.03","RECOVERED","CAP WATER RECOVERED","32","22","33","111","7","4","74"
