"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2010","SURPRISE GRAND VISTA JVI LLC","58-102408.0002","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","2.51","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2010","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","134.355","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2010","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","71.286","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2010","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","1726.62","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","2010","CITY OF EL MIRAGE","74-207706.0000","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","533.34","RECOVERED","CAP WATER RECOVERED","33","36","30","112","18","56","74"
"NOT WITHIN ANY AMA OR INA","2010","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2010","PHILLIP KENNETH GREER","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085339","D-02-06 34AAB","19.23","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2010","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","230","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2010","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","141","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2010","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","843.72","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2010","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","3.52","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2010","CPC SOUTHWEST MATERIALS INC","59-512014.0002","MINERAL EXTRACTION","UPPER SANTA CRUZ","085685","D-15-16 19AAA","42.92","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","2010","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","085744","D-12-13 19ADA","28.96","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2010","ARNOLD ANGLIN","59-501146.0001","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","EAST SALT RIVER VALLEY","085994","D-02-07 14AB","37.84","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","2010","RED RIVER CATTLE, LLP","58-109249.0007","TYPE 2 NON-IRRIGATION GFR","MARICOPA-STANFIELD","086077","D-05-04 08DDD","0.59","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2010","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","086158","D-12-12 21ADB","445.9","WITHDRAWAL","GROUNDWATER","32","22","33","111","7","4","56"
"PINAL AMA","2010","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","086247","D-05-03 12CDD","2011","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","2010","SILVERLEAF ACQUISITION HOLDINGS, LLC.","58-103495.0002","IRRIGATION USE","UPPER SANTA CRUZ","086314","D-21-13 17ACC","42.7","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2010","H2O, INC.","56-002020.0000","LARGE MUNICIPAL PROVIDER MNPCCP","EAST SALT RIVER VALLEY","086441","D-02-08 32DDD","1057.08","WITHDRAWAL","GROUNDWATER","33","12","35","111","32","78","56"
"PINAL AMA","2010","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086602","D-08-06 26DBB","967","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","2010","RAYMOND W RUEGG","60-203212.0002","IRRIGATION USE","DOUGLAS","086643","D-18-26 28ACD","160","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","2010","MARATHON FARMING CO.","88-000089.0000","BEST MANAGEMENT PRACTICES FARM UNIT","","086727","D-06-07 19BDD","572","WITHDRAWAL","GROUNDWATER","","","","","","","88"
"NOT WITHIN ANY AMA OR INA","2010","PAYSON WATER CO","91-000148.0000","SMALL COMMUNITY WATER SYSTEM","","086809","A-08-10 05CDB","9.8","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2010","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086830","D-07-06 34DCC","903.07","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2010","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086835","D-08-08 12DAD","896.82","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","2010","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","086902","D-16-14 01DAD","377.45","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","2010","CHANDLER UNIFIED SCHOOL DISTRICT #80","58-110673.0011","TYPE 1 GFR","EAST SALT RIVER VALLEY","086951","D-02-06 16BAB","49.41","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2010","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","086952","D-05-03 21DDC","410.03","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"NOT WITHIN ANY AMA OR INA","2010","AGUILA WATER SERVICE","91-000181.0000","SMALL COMMUNITY WATER SYSTEM","","086985","B-07-09 23BAA","49.93","WITHDRAWAL","GROUNDWATER","","","","","","","91"
