"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2009","SURPRISE GRAND VISTA JVI LLC","58-102408.0002","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","2.57","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2009","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","124.8","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2009","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","100.4","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2009","ABCDW LLC","60-201119.0006","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","1889.74","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","2009","CITY OF EL MIRAGE","74-207706.0000","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","245","RECOVERED","EFFLUENT RECOVERED OUTSIDE THE AOI","33","36","30","112","18","56","74"
"PHOENIX AMA","2009","CITY OF EL MIRAGE","74-207706.0000","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","385.73","RECOVERED","CAP WATER RECOVERED","33","36","30","112","18","56","74"
"NOT WITHIN ANY AMA OR INA","2009","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2009","PHILLIP KENNETH GREER","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085339","D-02-06 34AAB","26.15","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2009","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","178.1","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","104.07","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2009","CENTRAL ARIZONA WATER CONSERVATION DISTRICT","74-595197.0001","RECOVERY WELL PERMITS","","085665","D-06-03 34AAA","1822","RECOVERED","CAP WATER RECOVERED","","","","","","","74"
"PINAL AMA","2009","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","1870.58","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2009","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","59.46","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2009","CPC SOUTHWEST MATERIALS INC","59-512014.0002","MINERAL EXTRACTION","UPPER SANTA CRUZ","085685","D-15-16 19AAA","42.92","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","2009","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","085744","D-12-13 19ADA","34.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2009","ARNOLD ANGLIN","59-501146.0001","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","EAST SALT RIVER VALLEY","085994","D-02-07 14AB","28.25","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","2009","RED RIVER CATTLE, LLP","58-109249.0007","TYPE 2 NON-IRRIGATION GFR","MARICOPA-STANFIELD","086077","D-05-04 08DDD","168.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","086158","D-12-12 21ADB","565.5","WITHDRAWAL","GROUNDWATER","32","22","33","111","7","4","56"
"PINAL AMA","2009","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","086247","D-05-03 12CDD","2135.67","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","2009","SILVERLEAF ACQUISITION HOLDINGS, LLC.","58-103495.0002","IRRIGATION USE","UPPER SANTA CRUZ","086314","D-21-13 17ACC","53.91","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2009","WALTON AZ SUNLAND RANCH LP 2","59-218260.0000","HYDROLOGIC TESTING PERMIT","","086602","D-08-06 26DBB","42","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086602","D-08-06 26DBB","991.74","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","2009","RAYMOND W RUEGG","60-203212.0002","IRRIGATION USE","DOUGLAS","086643","D-18-26 28ACD","124.4","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"NOT WITHIN ANY AMA OR INA","2009","CABALLERO WATER CO","91-000184.0000","SMALL COMMUNITY WATER SYSTEM","","086682","B-07-05 15CCC","80.1","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2009","Marathon Farming Investments, LLC, an Arizona limited liabil","58-111752.0003","IRRIGATION USE","ELOY","086727","D-06-07 19BDD","61","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"NOT WITHIN ANY AMA OR INA","2009","PAYSON WATER CO","91-000148.0000","SMALL COMMUNITY WATER SYSTEM","","086809","A-08-10 05CDB","17.89","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086830","D-07-06 34DCC","845.39","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","086835","D-08-08 12DAD","962.76","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","2009","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","086902","D-16-14 01DAD","105.67","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","2009","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","086952","D-05-03 21DDC","416.28","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"NOT WITHIN ANY AMA OR INA","2009","AGUILA WATER SERVICE","91-000181.0000","SMALL COMMUNITY WATER SYSTEM","","086985","B-07-09 23BAA","54.35","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","087194","D-08-06 26DDA","845.52","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2009","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","087212","D-06-04 16DDD","504.73","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2009","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","087213","D-09-08 36ADD","1351.18","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2009","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","087270","D-06-04 18DBB","787.99","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","2009","ORO VALLEY COUNTRY CLUB, INC.","58-101530.0002","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","087589","D-12-13 13BCA","488","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"NOT WITHIN ANY AMA OR INA","2009","OJO BONITO WATER IMPROVEMNT DS","91-000016.0000","SMALL COMMUNITY WATER SYSTEM","","087611","A-10-25 19DDD","2.68","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2009","CITY OF PHOENIX","56-002030.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","087614","A-04-04 33CCC","226.39","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","2009","PIMA COUNTY REGIONAL WASTEWATER","58-109395.0003","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","087618","D-12-11 02BAA","28.31","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2009","DESERT HILLS WATER COMPANY","56-002169.0000","LARGE MUNICIPAL PROVIDER MNPCCP","EAST SALT RIVER VALLEY","087697","A-05-03 04CDC","33.47","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"NOT WITHIN ANY AMA OR INA","2009","COSANTI FOUNDATION","91-000692.0000","SMALL COMMUNITY WATER SYSTEM","","087770","A-11-02 12DDB","14","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2009","VAIL WATER COMPANY","74-583016.0003","RECOVERY WELL PERMITS","","087814","D-16-16 08AAB","219","RECOVERED","CAP WATER RECOVERED","32","3","44.9","110","43","36.1","74"
"TUCSON AMA","2009","DEL LAGO GOLF COURSE","74-591933.0000","RECOVERY WELL PERMITS","","087816","D-16-16 10BCB","227","RECOVERED","CAP WATER RECOVERED","32","3","31.93","110","42","14.8","74"
"TUCSON AMA","2009","VAIL WATER COMPANY","74-583016.0003","RECOVERY WELL PERMITS","","087816","D-16-16 10BCB","390","RECOVERED","CAP WATER RECOVERED","32","3","31.93","110","42","14.8","74"
"TUCSON AMA","2009","VAIL WATER COMPANY","74-583016.0003","RECOVERY WELL PERMITS","","087817","D-16-16 10DCB","252","RECOVERED","CAP WATER RECOVERED","32","3","2.3","110","41","46.6","74"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","200032","D-12-13 31AAB","442.7","WITHDRAWAL","GROUNDWATER","32","21","2","111","3","0","56"
"DOUGLAS INA","2009","RAY H. ZUCK","60-203576.0001","IRRIGATION USE","DOUGLAS","200257","D-19-26 17DCC","691","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"NOT WITHIN ANY AMA OR INA","2009","BELLA VISTA WATER CO INC","91-000028.0000","LARGE COMMUNITY WATER SYSTEM","","200402","D-23-21 08CBB","24.906","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2009","PIMA COUNTY PARKS & RECREATION","58-100381.0006","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","200410","D-13-16 20CDC","24.82","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2009","FREEPORT-MCMORAN SIERRITA INC","58-113558.0005","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","200554","D-18-13 21CBC","590","WITHDRAWAL","GROUNDWATER","31","50","43","111","1","40","58"
"TUCSON AMA","2009","FREEPORT-MCMORAN SIERRITA INC","58-113558.0005","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","200555","D-18-13 21CCB","270","WITHDRAWAL","GROUNDWATER","31","50","33","111","1","40","58"
"TUCSON AMA","2009","FREEPORT-MCMORAN SIERRITA INC","58-113558.0005","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","200556","D-18-13 28BBB","161","WITHDRAWAL","GROUNDWATER","31","50","21","111","1","39","58"
"PHOENIX AMA","2009","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","200558","B-04-01 32AAA","731.84","WITHDRAWAL","GROUNDWATER","33","39","10","112","22","41","56"
"PHOENIX AMA","2009","TOWN OF GILBERT","74-586724.0008","RECOVERY WELL PERMITS","EAST SALT RIVER VALLEY","200559","D-02-06 14AAA","394.98","RECOVERED","EFFLUENT RECOVERED OUTSIDE THE AOI","33","15","43.2","111","42","13","74"
"PHOENIX AMA","2009","VALENCIA WATER COMPANY","56-002046.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","200564","B-01-03 28ADD","633.36","WITHDRAWAL","GROUNDWATER","33","24","3","112","33","23.9","56"
"PHOENIX AMA","2009","CITY OF AVONDALE","74-553424.0009","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","200566","B-01-01 02ACA","1726.1","RECOVERED","SPILL WATER RECOVERED","33","27","41","112","19","41","74"
"PHOENIX AMA","2009","CITY OF AVONDALE","74-553424.0009","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","200566","B-01-01 02ACA","118.96","RECOVERED","SALT/VERDE  WATER RECOVERED","33","27","41","112","19","41","74"
"NOT WITHIN ANY AMA OR INA","2009","Q MOUNTAIN WATER CO","91-000753.0000","SMALL COMMUNITY WATER SYSTEM","","200615","B-03-19 18ADD","10.555","WITHDRAWAL","GROUNDWATER","33","36","19","114","15","12","91"
"TUCSON AMA","2009","FARMERS WATER COMPANY","56-000080.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER SANTA CRUZ","201058","D-17-14 28BCB","7.41","WITHDRAWAL","GROUNDWATER","31","55","26","110","55","30","56"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","201059","D-11-11 31CCB","26.1","WITHDRAWAL","GROUNDWATER","32","25","39.7","111","16","10.4","56"
"PINAL AMA","2009","CALPORTLAND","59-201419.0003","MINERAL EXTRACTION","ELOY","201420","D-05-08 03DDA","38","WITHDRAWAL","GROUNDWATER","33","1","10.6","111","30","29.6","59"
"TUCSON AMA","2009","TOWN OF ORO VALLEY WATER UTILITY","56-000368.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","201425","D-12-14 05BAC","374.5","WITHDRAWAL","GROUNDWATER","32","25","15","110","56","24","56"
"PHOENIX AMA","2009","ARIZONA WATER CO.-WHITE TANKS","56-002001.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201426","B-01-02 09BAC","7.88","WITHDRAWAL","GROUNDWATER","33","26","52.2","112","28","18.5","56"
"PHOENIX AMA","2009","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201427","B-04-04 23DAB","218.95","WITHDRAWAL","GROUNDWATER","33","40","24.4","112","37","48.4","56"
"PHOENIX AMA","2009","JOHNSON UTILITIES - PHOENIX","56-002346.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UNKNOWN","201429","D-03-07 12ABB","1111","WITHDRAWAL","GROUNDWATER","33","11","26.7","111","35","26.2","56"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","74-580079.0008","RECOVERY WELL PERMITS","","201430","D-14-11 08CDD","3155.1","RECOVERED","CAP WATER RECOVERED","32","13","11","111","14","38","74"
"PHOENIX AMA","2009","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201725","B-02-04 30ADB","327.48","WITHDRAWAL","GROUNDWATER","33","29","22.7","112","41","50.5","56"
"PHOENIX AMA","2009","ARCADIA WATER COMPANY","57-002501.0000","IRRIGATION DISTRICT (SW & GW)","EAST SALT RIVER VALLEY","201729","A-02-04 22DAA","797.8","WITHDRAWAL","GROUNDWATER","33","30","2","111","55","40","57"
"PHOENIX AMA","2009","CITY OF AVONDALE","74-553424.0009","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","201730","A-02-01 30DDA","361.76","RECOVERED","SALT/VERDE  WATER RECOVERED","33","28","44.5","112","17","24.23","74"
"PHOENIX AMA","2009","SALT RIVER PROJECT","57-002520.0000","IRRIGATION DISTRICT (SW & GW)","WEST SALT RIVER VALLEY","201730","A-02-01 30DDA","421.53","WITHDRAWAL","GROUNDWATER","33","28","44.5","112","17","24.23","57"
"TUCSON AMA","2009","FREEPORT-MCMORAN SIERRITA INC","58-113558.0005","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","201732","D-18-13 28CBC","825","WITHDRAWAL","GROUNDWATER","32","49","52","111","1","40","58"
"PHOENIX AMA","2009","CITY OF CHANDLER","56-002009.0000","LARGE MUNICIPAL PROVIDER MNPCCP","EAST SALT RIVER VALLEY","201735","D-02-06 31ADA","9.92","WITHDRAWAL","GROUNDWATER","33","12","55.8","111","46","23.8","56"
"PHOENIX AMA","2009","CITY OF CHANDLER","74-548263.0004","RECOVERY WELL PERMITS","EAST SALT RIVER VALLEY","201735","D-02-06 31ADA","360","RECOVERED","CAP WATER RECOVERED","33","12","55.8","111","46","23.8","74"
"PINAL AMA","2009","ABCDW LLC","58-104067.0016","IRRIGATION USE","MARICOPA-STANFIELD","201736","D-06-04 15DDD","819","WITHDRAWAL","GROUNDWATER","32","53","39","111","55","6","58"
"TUCSON AMA","2009","ARIZONA BOARD OF REGENTS","56-000268.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER SANTA CRUZ","201737","D-14-14 07ADB","70.81","WITHDRAWAL","GROUNDWATER","32","13","51","110","56","47","56"
"PHOENIX AMA","2009","VALENCIA WATER COMPANY","56-002046.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201740","B-01-03 28AAB","907.14","WITHDRAWAL","GROUNDWATER","33","24","22.4","112","33","31.7","56"
"PHOENIX AMA","2009","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202092","B-03-02 02BDA","89.53","WITHDRAWAL","GROUNDWATER","33","38","1","112","26","10.9","56"
"PHOENIX AMA","2009","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202096","B-04-02 25ACB","978.89","WITHDRAWAL","GROUNDWATER","33","39","50","112","24","59","56"
"PRESCOTT AMA","2009","TOWN OF PRESCOTT VALLEY","56-003023.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER AGUA FRIA","202098","A-14-01 35BCB","86.6","WITHDRAWAL","GROUNDWATER","34","33","7.8","112","14","10.6","56"
"NOT WITHIN ANY AMA OR INA","2009","TOWN OF CLARKDALE","91-000617.0000","LARGE COMMUNITY WATER SYSTEM","","202370","A-16-03 20CCC","134.2","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PRESCOTT AMA","2009","TOWN OF PRESCOTT VALLEY","56-003023.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER AGUA FRIA","202386","B-15-01 27CCC","236","WITHDRAWAL","GROUNDWATER","34","38","37.5","112","21","30.7","56"
"PRESCOTT AMA","2009","TOWN OF PRESCOTT VALLEY","56-003023.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER AGUA FRIA","202388","B-15-01 27CBB","326.4","WITHDRAWAL","GROUNDWATER","34","39","2.1","112","21","30.8","56"
"PRESCOTT AMA","2009","TOWN OF PRESCOTT VALLEY","56-003023.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER AGUA FRIA","202390","B-15-01 27BBB","345.4","WITHDRAWAL","GROUNDWATER","34","39","28.3","112","21","31","56"
"PRESCOTT AMA","2009","TOWN OF PRESCOTT VALLEY","56-003023.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER AGUA FRIA","202392","B-15-01 35BCB","196.1","WITHDRAWAL","GROUNDWATER","34","38","20","112","20","27","56"
"PHOENIX AMA","2009","VALENCIA WATER COMPANY","56-002046.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202399","B-01-03 28DDA","355.7","WITHDRAWAL","GROUNDWATER","33","23","39.4","112","33","24.6","56"
"PHOENIX AMA","2009","VALENCIA WATER COMPANY","56-002046.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202400","B-01-03 31ACA","52.59","WITHDRAWAL","GROUNDWATER","33","23","16.5","112","35","45.2","56"
"TUCSON AMA","2009","CACTUS WASTE SYSTEMS LLC","59-202401.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","AVRA VALLEY","202402","D-07-10 33BDA","74.7","WITHDRAWAL","GROUNDWATER","32","46","21.4","111","19","12.9","59"
"PHOENIX AMA","2009","CITY OF AVONDALE","74-553424.0009","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","202404","B-02-01 36DBB","623.35","RECOVERED","CAP WATER RECOVERED","33","28","15.9","112","18","47.3","74"
"PHOENIX AMA","2009","BEARDSLEY WATER COMPANY","56-002159.0000","SMALL MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","202408","B-05-03 29AAD","8.11","WITHDRAWAL","GROUNDWATER","33","45","","112","35","","56"
"SANTA CRUZ AMA","2009","CPC SOUTHWEST MATERIALS INC","59-202409.0001","MINERAL EXTRACTION","UPPER SANTA CRUZ","202410","D-22-13 33ACD","20.96","WITHDRAWAL","GROUNDWATER","31","28","18.7","111","0","56.1","59"
"TUCSON AMA","2009","PAUL PATRICK MANLEY","58-105944.0005","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","202468","D-10-11 30CDA","0.23","WITHDRAWAL","GROUNDWATER","32","31","38.5","111","15","6.8","58"
"NOT WITHIN ANY AMA OR INA","2009","FOREST HIGHLANDS WATER CO","91-000104.0000","SMALL COMMUNITY WATER SYSTEM","","202755","A-20-06 24BBB","143.657","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"NOT WITHIN ANY AMA OR INA","2009","WINCHESTER WATER CO. LLC","91-000074.0000","SMALL COMMUNITY WATER SYSTEM","","202781","D-12-24 08BDC","56.14","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"NOT WITHIN ANY AMA OR INA","2009","Q MOUNTAIN WATER CO","91-000753.0000","SMALL COMMUNITY WATER SYSTEM","","202875","B-03-19 18BCB","35.049","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","58-110580.0008","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","202883","D-16-15 23DDD","85.1","WITHDRAWAL","GROUNDWATER","32","1","12","110","46","34","58"
"PHOENIX AMA","2009","CHI CONSTRUCTION CO","58-113079.0015","IRRIGATION USE","WEST SALT RIVER VALLEY","202889","B-01-02 20CDD","737.82","WITHDRAWAL","GROUNDWATER","33","24","26","112","29","16","58"
"TUCSON AMA","2009","CITY OF TUCSON/TUCSON WATER","74-580079.0008","RECOVERY WELL PERMITS","","202892","D-14-11 06ABD","1833.5","RECOVERED","CAP WATER RECOVERED","32","14","42","110","15","26","74"
"PHOENIX AMA","2009","UNITED METRO MATERIALS INC","58-105298.0001","TYPE 2 MINERAL EXTRACT GFR","WEST SALT RIVER VALLEY","202897","A-01-02 29CAD","172.7","WITHDRAWAL","GROUNDWATER","33","23","45.72","112","10","35.75","58"
"TUCSON AMA","2009","GRAE VERLIN","56-000323.0000","SMALL MUNICIPAL PROVIDER","UPPER SANTA CRUZ","202898","D-14-15 35ADD","31.57","WITHDRAWAL","GROUNDWATER","32","10","","110","46","","56"
"PINAL AMA","2009","AZ BD OF REGENTS UNIV OF AZ","58-150066.0002","TYPE 1 GFR","MARICOPA-STANFIELD","203197","D-04-04 17CAA","8.03","WITHDRAWAL","GROUNDWATER","33","4","0.41","111","58","0.2","58"
"NOT WITHIN ANY AMA OR INA","2009","UTILITY SOURCE LLC","91-000107.0000","SMALL COMMUNITY WATER SYSTEM","","203241","A-22-05 36CCC","59","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2009","REXCO LLC","58-106649.0011","TYPE 1 GFR","WEST SALT RIVER VALLEY","203247","B-01-03 25CAD","136.75","WITHDRAWAL","GROUNDWATER","33","24","44.3","112","30","47.7","58"
"PHOENIX AMA","2009","SALT RIVER PROJECT","57-002520.0000","IRRIGATION DISTRICT (SW & GW)","WEST SALT RIVER VALLEY","203264","A-03-01 14DDD","10.21","WITHDRAWAL","GROUNDWATER","33","25","45.513","112","13","10.956","57"
"PHOENIX AMA","2009","ARIZONA WATER CO.-WHITE TANKS","56-002001.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","203266","B-01-02 08ACC","7.41","WITHDRAWAL","GROUNDWATER","32","26","38.9","112","29","15","56"
"PHOENIX AMA","2009","CITY OF PEORIA","74-572707.0008","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","203268","B-05-01 35DAD","859","RECOVERED","CAP WATER RECOVERED","33","43","52","112","19","33","74"
"PHOENIX AMA","2009","CITY OF PEORIA","74-572707.0008","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","203269","B-04-01 02ABB","515","RECOVERED","CAP WATER RECOVERED","33","43","29.1","112","19","54.8","74"
