"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2016","SFI GRAND VISTA, LLC","58-102408.0003","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","0.03","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2016","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","96.37","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2016","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","180.93","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2016","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","2044.27","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","2016","RINCON MESA LANDOWNER'S ASSN","91-000472.0000","SMALL COMMUNITY WATER SYSTEM","","085141","D-15-16 33AAC","6.78","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"NOT WITHIN ANY AMA OR INA","2016","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2016","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","147.48","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2016","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","191","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2016","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","11.58","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2016","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","085744","D-12-13 19ADA","37.38","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2016","ARNOLD ANGLIN DAIRY","58-104295.0002","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085994","D-02-07 14AB","34.75","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2016","CITY OF TUCSON/TUCSON WATER","74-560621.0004","RECOVERY WELL PERMITS","UPPER SANTA CRUZ","086158","D-12-12 21ADB","233.69","RECOVERED","CAP WATER RECOVERED","32","22","33","111","7","4","74"
"PINAL AMA","2016","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","086247","D-05-03 12CDD","210","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","2016","TRUE RESOURCES, LLC","58-103495.0003","IRRIGATION USE","UPPER SANTA CRUZ","086314","D-21-13 17ACC","32.57","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2016","QUEEN CREEK WATER DEPARTMENT","56-002032.0001","LARGE MUNICIPAL PROVIDER MNPCCP","EAST SALT RIVER VALLEY","086441","D-02-08 32DDD","2513.2","WITHDRAWAL","GROUNDWATER","33","12","35","111","32","78","56"
"DOUGLAS INA","2016","PAUL & PAULA WHITE","60-203212.0004","IRRIGATION USE","DOUGLAS","086643","D-18-26 28ACD","290","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","2016","MARATHON FARMING CO.","88-000089.0000","BEST MANAGEMENT PRACTICES FARM UNIT","","086727","D-06-07 19BDD","761","WITHDRAWAL","GROUNDWATER","","","","","","","88"
"NOT WITHIN ANY AMA OR INA","2016","PAYSON WATER CO","91-000148.0000","SMALL COMMUNITY WATER SYSTEM","","086809","A-08-10 05CDB","14.829","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2016","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER","UPPER SANTA CRUZ","086902","D-16-14 01DAD","24.8","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"NOT WITHIN ANY AMA OR INA","2016","AGUILA WATER SERVICE","91-000181.0000","SMALL COMMUNITY WATER SYSTEM","","086985","B-07-09 23BAA","58.26","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2016","CITY OF BUCKEYE - HOPEVILLE SYSTEM","56-002756.0000","SMALL MUNICIPAL PROVIDER","HASSAYAMPA","087247","B-01-04 16BBA","16.54","WITHDRAWAL","GROUNDWATER","33","26","5","112","40","21","56"
"PINAL AMA","2016","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","087270","D-06-04 18DBB","271","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","2016","ORO VALLEY COUNTRY CLUB, INC.","58-101530.0002","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","087589","D-12-13 13BCA","473.8","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"NOT WITHIN ANY AMA OR INA","2016","OJO BONITO WATER IMPROVEMNT DS","91-000016.0000","SMALL COMMUNITY WATER SYSTEM","","087611","A-10-25 19DDD","1.84","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2016","CITY OF PHOENIX","56-002030.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","087614","A-04-04 33CCC","0.44","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","2016","PIMA COUNTY REGIONAL WASTEWATER","58-109395.0003","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","087618","D-12-11 02BAA","27.27","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"NOT WITHIN ANY AMA OR INA","2016","CEDAR GROVE WATER CO","91-000018.0000","SMALL COMMUNITY WATER SYSTEM","","087623","A-10-24 09DDC","32.019","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"NOT WITHIN ANY AMA OR INA","2016","COSANTI FOUNDATION","91-000692.0000","SMALL COMMUNITY WATER SYSTEM","","087770","A-11-02 12DDB","11.59","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2016","DEL LAGO GOLF COURSE","74-591933.0000","RECOVERY WELL PERMITS","","087816","D-16-16 10BCB","283.15","RECOVERED","CAP WATER RECOVERED","32","3","31.93","110","42","14.8","74"
"TUCSON AMA","2016","VAIL WATER COMPANY","74-583016.0004","RECOVERY WELL PERMITS","","087816","D-16-16 10BCB","0.53","RECOVERED","IN-LIEU WATER  (CAP)","32","3","31.93","110","42","14.8","74"
"TUCSON AMA","2016","VAIL WATER COMPANY","74-583016.0004","RECOVERY WELL PERMITS","","087817","D-16-16 10DCB","0.91","RECOVERED","IN-LIEU WATER  (CAP)","32","3","2.3","110","41","46.6","74"
"TUCSON AMA","2016","CITY OF TUCSON/TUCSON WATER","74-560621.0004","RECOVERY WELL PERMITS","UPPER SANTA CRUZ","200032","D-12-13 31AAB","577.81","RECOVERED","CAP WATER RECOVERED","32","21","2","111","3","0","74"
"DOUGLAS INA","2016","WESLEY J. BOHLENDER","60-203576.0002","IRRIGATION USE","DOUGLAS","200257","D-19-26 17DCC","802","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"NOT WITHIN ANY AMA OR INA","2016","BELLA VISTA WATER CO INC","91-000028.0000","LARGE COMMUNITY WATER SYSTEM","","200402","D-23-21 08CBB","17.517","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"TUCSON AMA","2016","PIMA COUNTY PARKS & RECREATION","58-100381.0006","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","200410","D-13-16 20CDC","74.2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","2016","FREEPORT-MCMORAN SIERRITA INC","58-113558.0007","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","200554","D-18-13 21CBC","180","WITHDRAWAL","GROUNDWATER","31","50","43","111","1","40","58"
"TUCSON AMA","2016","FREEPORT-MCMORAN SIERRITA INC","58-113558.0007","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","200556","D-18-13 28BBB","74","WITHDRAWAL","GROUNDWATER","31","50","21","111","1","39","58"
"PHOENIX AMA","2016","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","200558","B-04-01 32AAA","538.06","WITHDRAWAL","GROUNDWATER","33","39","10","112","22","41","56"
"PHOENIX AMA","2016","TOWN OF GILBERT","56-002017.0000","LARGE MUNICIPAL PROVIDER MNPCCP","EAST SALT RIVER VALLEY","200559","D-02-06 14AAA","355.47","WITHDRAWAL","GROUNDWATER","33","15","43.2","111","42","13","56"
"PHOENIX AMA","2016","CITY OF AVONDALE","74-553424.0012","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","200566","B-01-01 02ACA","1400.38","RECOVERED","EFFLUENT RECOVERED INSIDE AOI","33","27","41","112","19","41","74"
"PHOENIX AMA","2016","CITY OF AVONDALE","74-553424.0012","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","200566","B-01-01 02ACA","74.72","RECOVERED","CAP WATER RECOVERED","33","27","41","112","19","41","74"
"PHOENIX AMA","2016","THE PECANS OF QUEEN CREEK LLC","58-112445.0005","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","201054","D-02-07 28ADD","247.55","WITHDRAWAL","GROUNDWATER","33","13","37.6","111","38","5.6","58"
"TUCSON AMA","2016","FARMERS WATER COMPANY","56-000080.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER SANTA CRUZ","201058","D-17-14 28BCB","38.95","WITHDRAWAL","GROUNDWATER","31","55","26","110","55","30","56"
"TUCSON AMA","2016","CITY OF TUCSON/TUCSON WATER","74-560621.0004","RECOVERY WELL PERMITS","UPPER SANTA CRUZ","201059","D-11-11 31CCB","23.11","RECOVERED","CAP WATER RECOVERED","32","25","39.7","111","16","10.4","74"
"NOT WITHIN ANY AMA OR INA","2016","COTTONWOOD, CITY OF","91-000659.0000","LARGE COMMUNITY WATER SYSTEM","","201188","A-15-03 15DCD","53.1","WITHDRAWAL","GROUNDWATER","34","41","32","112","0","52","91"
"PINAL AMA","2016","CALPORTLAND","59-201419.0003","MINERAL EXTRACTION","ELOY","201420","D-05-08 03DDA","82.1","WITHDRAWAL","GROUNDWATER","33","1","10.6","111","30","29.6","59"
"TUCSON AMA","2016","TOWN OF ORO VALLEY WATER UTILITY","74-570180.0007","RECOVERY WELL PERMITS","","201425","D-12-14 05BAC","284.5","RECOVERED","CAP WATER RECOVERED","32","25","15","110","56","24","74"
"PHOENIX AMA","2016","ARIZONA WATER COMPANY - WHITE TANKS","74-224731.0000","RECOVERY WELL PERMITS","","201426","B-01-02 09BAC","61.22","RECOVERED","IN-LIEU WATER  (CAP)","33","26","52.2","112","28","18.5","74"
"PHOENIX AMA","2016","ARIZONA WATER CO.-WHITE TANKS","56-002001.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201426","B-01-02 09BAC","152.59","WITHDRAWAL","GROUNDWATER","33","26","52.2","112","28","18.5","56"
"PHOENIX AMA","2016","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201427","B-04-04 23DAB","615.79","WITHDRAWAL","GROUNDWATER","33","40","24.4","112","37","48.4","56"
"PHOENIX AMA","2016","JOHNSON UTILITIES - PHOENIX","56-002346.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UNKNOWN","201429","D-03-07 12ABB","716.4","WITHDRAWAL","GROUNDWATER","33","11","26.7","111","35","26.2","56"
"PHOENIX AMA","2016","JOHNSON UTILITIES - PHOENIX","74-216385.0000","RECOVERY WELL PERMITS","EAST SALT RIVER VALLEY","201429","D-03-07 12ABB","476.84","RECOVERED","EFFLUENT RECOVERED OUTSIDE THE AOI","33","11","26.7","111","35","26.2","74"
"PHOENIX AMA","2016","JOHNSON UTILITIES - PHOENIX","74-216385.0000","RECOVERY WELL PERMITS","EAST SALT RIVER VALLEY","201429","D-03-07 12ABB","500.46","RECOVERED","EFFLUENT RECOVERED OUTSIDE THE AOI","33","11","26.7","111","35","26.2","74"
"TUCSON AMA","2016","CITY OF TUCSON/TUCSON WATER","74-580079.0009","RECOVERY WELL PERMITS","","201430","D-14-11 08CDD","1198.12","RECOVERED","CAP WATER RECOVERED","32","13","11","111","14","38","74"
"PHOENIX AMA","2016","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201725","B-02-04 30ADB","85.78","WITHDRAWAL","GROUNDWATER","33","29","22.7","112","41","50.5","56"
"PHOENIX AMA","2016","ARCADIA WATER COMPANY","57-002501.0000","IRRIGATION DISTRICT (SW & GW)","EAST SALT RIVER VALLEY","201729","A-02-04 22DAA","715.17","WITHDRAWAL","GROUNDWATER","33","30","2","111","55","40","57"
"PHOENIX AMA","2016","CITY OF AVONDALE","74-553424.0012","RECOVERY WELL PERMITS","WEST SALT RIVER VALLEY","201730","A-02-01 30DDA","372.1","RECOVERED","SALT/VERDE  WATER RECOVERED","33","28","44.5","112","17","24.23","74"
"PHOENIX AMA","2016","SALT RIVER PROJECT","57-002520.0000","IRRIGATION DISTRICT (SW & GW)","WEST SALT RIVER VALLEY","201730","A-02-01 30DDA","372.13","WITHDRAWAL","GROUNDWATER","33","28","44.5","112","17","24.23","57"
"TUCSON AMA","2016","FREEPORT-MCMORAN SIERRITA INC","58-113558.0007","TYPE 2 MINERAL EXTRACT GFR","UPPER SANTA CRUZ","201732","D-18-13 28CBC","25","WITHDRAWAL","GROUNDWATER","32","49","52","111","1","40","58"
"PHOENIX AMA","2016","CITY OF CHANDLER","74-548263.0006","RECOVERY WELL PERMITS","EAST SALT RIVER VALLEY","201735","D-02-06 31ADA","954.88","RECOVERED","CAP WATER RECOVERED","33","12","55.8","111","46","23.8","74"
"TUCSON AMA","2016","ARIZONA BOARD OF REGENTS","56-000268.0000","LARGE MUNICIPAL PROVIDER MNPCCP","UPPER SANTA CRUZ","201737","D-14-14 07ADB","130.889","WITHDRAWAL","GROUNDWATER","32","13","51","110","56","47","56"
"PHOENIX AMA","2016","VALENCIA WATER COMPANY","56-002046.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","201740","B-01-03 28AAB","784.13","WITHDRAWAL","GROUNDWATER","33","24","22.4","112","33","31.7","56"
"PHOENIX AMA","2016","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202092","B-03-02 02BDA","159.81","WITHDRAWAL","GROUNDWATER","33","38","1","112","26","10.9","56"
"PHOENIX AMA","2016","EPCOR (AGUA FRIA) WATER ARIZONA INC.","56-002012.0000","LARGE MUNICIPAL PROVIDER MNPCCP","WEST SALT RIVER VALLEY","202096","B-04-02 25ACB","561.99","WITHDRAWAL","GROUNDWATER","33","39","50","112","24","59","56"
