"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2004","CHRYSLER CORPORATION","58-102408.0001","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","28.2","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2004","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","50.67","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2004","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","104.34","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2004","SOUTHWESTERN AGRICULTURAL SERVICES INC","60-201119.0005","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","1855.87","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","2004","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","709.41","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","2004","PHILLIP KENNETH GREER","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085339","D-02-06 34AAB","76.28","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2004","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","224.48","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2004","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","118.43","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2004","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","1818.51","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2004","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","1.15","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2004","TUCSON READY MIX, INC","59-512014.0000","MINERAL EXTRACTION","UPPER SANTA CRUZ","085685","D-15-16 19AAA","264.2","WITHDRAWAL","GROUNDWATER","","","","","","","59"
