"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2018","SFI GRAND VISTA, LLC","58-102408.0003","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","1.47","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","2018","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","80.7","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2018","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","186.48","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"HARQUAHALA VALLEY INA","2018","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","HARQUAHALA","085118","B-01-08 07CBB","2107.42","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","2018","RINCON MESA LANDOWNER'S ASSN","91-000472.0000","SMALL COMMUNITY WATER SYSTEM","","085141","D-15-16 33AAC","5.73","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","2018","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","277.22","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"NOT WITHIN ANY AMA OR INA","2018","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PINAL AMA","2018","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","12.28","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2018","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","158.92","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","2018","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","085683","B-01-04 18AAC","31.54","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","2018","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","AVRA VALLEY","085744","D-12-13 19ADA","33.6","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2018","ARNOLD ANGLIN DAIRY","58-104295.0002","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085994","D-02-07 14AB","17","WITHDRAWAL","GROUNDWATER","","","","","","","58"
