"AMA INA","YEAR","Owner or BMP Operator","Right Number","Right Type","Sub-basin","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","2003","CHRYSLER CORPORATION","58-102408.0001","TYPE 2 NON-IRRIGATION GFR","WEST SALT RIVER VALLEY","060001","B-05-02 08CCB","15.3","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"TUCSON AMA","2003","JAY LYNN TANKERSLEY-MORENO","58-109008.0000","TYPE 2 NON-IRRIGATION GFR","UPPER SANTA CRUZ","084067","D-13-15 33DBB","4.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","2003","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084785","B-01-04 18AAC","52.19","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2003","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","HASSAYAMPA","084786","B-01-04 18AAD","99.11","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","2003","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","WEST SALT RIVER VALLEY","085252","B-03-01 13BAA","1334.24","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","2003","PHILLIP KENNETH GREER","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","EAST SALT RIVER VALLEY","085339","D-02-06 34AAB","69.43","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2003","D.A. HOLDINGS, L.L.C.","58-107767.0001","TYPE 2 NON-IRRIGATION GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","59","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2003","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","53.7","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2003","RICHARD & DEANNA ANGLIN","58-109331.0001","TYPE 2 NON-IRRIGATION GFR","MARICOPA-STANFIELD","085518","D-04-03 17DCB","62","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","2003","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","ELOY","085622","D-08-07 11ADD","14.66","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","2003","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","MARICOPA-STANFIELD","085665","D-06-03 34AAA","2138.99","WITHDRAWAL","GROUNDWATER","","","","","","","57"
